Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
DOLTI,836.00,-8.43,894.80,821.70,894.80,"143,096",,
DORDI,639.90,-0.17,654.90,635.00,651.10,"59,897",,
EBL,600.00,0.84,603.00,588.00,600.00,"37,856",,
EBLD85,"1,177.00",1.99,"1,177.00","1,175.00","1,175.00",400,,
EBLD86,"1,027.00",-1.86,"1,027.00","1,027.00","1,027.00",70,,
EDBL,635.00,7.63,639.50,595.00,595.00,"120,129",,
EHPL,830.00,0.36,843.60,811.00,811.00,"17,323",,
ENL,"1,192.00",0.08,"1,212.00","1,157.00","1,175.00","7,904",,
FMDBL,724.00,0.42,735.40,721.60,732.00,"11,441",,
FOWAD,"1,236.00",0.49,"1,238.90","1,215.20","1,220.00","2,652",,
GBBD85,"1,030.00",0.54,"1,030.00","1,026.00","1,026.00",150,,
GBBL,398.00,3.11,399.00,387.00,389.90,"61,585",,
GBILD84/85,"1,141.00",0.09,"1,141.00","1,141.00","1,141.00",50,,
GBILD86/87,"1,027.00",-0.11,"1,027.00","1,027.00","1,027.00",50,,
GBIME,218.90,0.18,220.80,218.00,218.50,"79,802",,
GBLBS,807.00,2.8,810.00,780.00,785.00,"18,000",,
GCIL,497.10,0.02,503.00,492.00,495.00,"45,426",,
GFCL,721.10,-1.49,742.10,715.30,732.00,"26,798",,
GHL,213.70,2.84,216.10,206.20,207.80,"193,967",,
GIBF1,10.05,1.62,10.05,9.51,9.70,"12,290",,
GILB,"1,199.00",-0.08,"1,251.00","1,177.00","1,181.00","5,622",,
GLBSL,"2,352.00",-1.09,"2,408.00","2,352.00","2,399.00","3,998",,
GLH,263.00,2.69,265.00,256.00,261.00,"120,924",,
GMFBS,"1,830.00",1.39,"1,877.00","1,800.00","1,838.00","3,169",,
